iter	Passed	Remaining
0	112	112345
1	112	56344
2	113	37703
3	113	28385
4	114	22769
5	114	19022
6	115	16346
7	115	14337
8	116	12776
9	116	11526
10	116	10504
11	117	9657
12	117	8938
13	118	8322
14	118	7785
15	118	7315
16	119	6900
17	119	6532
18	120	6202
19	120	5906
20	120	5639
21	121	5397
22	121	5177
23	122	4975
24	122	4786
25	123	4619
26	123	4459
27	124	4310
28	124	4174
29	125	4047
30	125	3930
31	126	3816
32	126	3709
33	126	3607
34	127	3511
35	127	3422
36	128	3336
37	128	3256
38	129	3181
39	129	3108
40	130	3047
41	130	2984
42	131	2922
43	131	2861
44	132	2804
45	132	2748
46	132	2695
47	133	2645
48	134	2601
49	134	2557
50	135	2512
51	135	2471
52	136	2430
53	136	2390
54	136	2351
55	137	2315
56	137	2279
57	138	2246
58	138	2215
59	139	2184
60	139	2152
61	140	2121
62	140	2092
63	141	2064
64	141	2036
65	141	2009
66	142	1983
67	142	1958
68	143	1934
69	143	1910
70	144	1886
71	144	1863
72	145	1842
73	145	1821
74	146	1801
75	146	1781
76	148	1774
77	148	1755
78	148	1735
79	149	1716
80	149	1698
81	150	1680
82	150	1661
83	150	1644
84	151	1627
85	151	1611
86	152	1595
87	152	1580
88	152	1564
89	153	1550
90	153	1536
91	154	1522
92	154	1508
93	155	1494
94	155	1481
95	155	1468
96	156	1455
97	156	1443
98	157	1431
99	157	1419
100	158	1407
101	158	1396
102	158	1384
103	159	1373
104	159	1363
105	160	1353
106	160	1342
107	161	1333
108	161	1323
109	162	1313
110	162	1304
111	163	1294
112	163	1285
113	164	1276
114	164	1267
115	165	1258
116	165	1249
117	166	1241
118	166	1233
119	167	1224
120	167	1216
121	167	1208
122	168	1200
123	168	1192
124	169	1185
125	169	1177
126	170	1169
127	170	1162
128	171	1155
129	171	1148
130	172	1141
131	172	1134
132	173	1127
133	173	1120
134	174	1115
135	174	1109
136	175	1102
137	175	1095
138	175	1089
139	176	1083
140	176	1077
141	177	1070
142	177	1065
143	178	1063
144	179	1057
145	179	1051
146	180	1046
147	180	1041
148	181	1035
149	181	1030
150	182	1024
151	182	1019
152	183	1015
153	184	1011
154	184	1006
155	185	1002
156	185	997
157	186	993
158	186	988
159	187	986
160	188	980
161	188	976
162	189	971
163	189	966
164	189	961
165	190	956
166	190	951
167	191	946
168	191	942
169	192	938
170	192	933
171	193	929
172	193	924
173	193	920
174	194	915
175	194	911
176	195	906
177	195	902
178	195	898
179	196	894
180	196	889
181	197	885
182	197	881
183	197	877
184	198	873
185	198	869
186	199	865
187	199	861
188	199	857
189	200	854
190	200	850
191	201	847
192	201	843
193	202	840
194	202	836
195	203	833
196	203	830
197	204	826
198	204	823
199	205	820
200	205	816
201	205	813
202	206	810
203	206	806
204	207	803
205	207	800
206	208	797
207	208	794
208	209	791
209	209	788
210	210	785
211	210	782
212	210	779
213	211	776
214	211	773
215	212	770
216	212	768
217	213	765
218	213	762
219	214	759
220	214	756
221	214	753
222	215	750
223	215	747
224	216	744
225	216	741
226	216	738
227	217	735
228	217	732
229	217	729
230	218	727
231	218	724
232	219	721
233	219	718
234	219	716
235	220	713
236	220	710
237	221	707
238	221	705
239	221	702
240	222	699
241	222	697
242	223	695
243	223	693
244	224	690
245	224	688
246	224	685
247	225	683
248	225	680
249	226	678
250	226	676
251	227	674
252	227	672
253	228	670
254	228	667
255	229	665
256	229	663
257	229	660
258	230	658
259	230	656
260	230	654
261	231	651
262	232	650
263	232	648
264	233	646
265	233	644
266	234	643
267	234	640
268	235	639
269	235	637
270	236	635
271	236	634
272	237	632
273	237	630
274	238	628
275	238	626
276	239	624
277	239	623
278	240	621
279	241	620
280	241	619
281	242	617
282	242	614
283	243	612
284	243	610
285	243	608
286	244	606
287	244	605
288	245	603
289	245	602
290	246	600
291	246	598
292	247	597
293	247	595
294	248	593
295	249	592
296	249	590
297	250	589
298	250	587
299	251	585
300	251	584
301	251	582
302	252	580
303	252	578
304	253	577
305	253	575
306	254	574
307	255	572
308	255	571
309	256	569
310	256	568
311	256	566
312	257	565
313	257	563
314	258	563
315	259	561
316	260	560
317	260	558
318	261	557
319	261	556
320	262	554
321	262	553
322	263	551
323	263	550
324	264	549
325	264	547
326	265	545
327	265	544
328	266	542
329	266	540
330	266	539
331	267	537
332	268	537
333	268	535
334	269	534
335	269	532
336	270	531
337	270	529
338	271	528
339	271	527
340	272	525
341	272	524
342	272	522
343	273	521
344	273	519
345	274	518
346	274	516
347	275	515
348	275	514
349	276	512
350	276	511
351	277	510
352	277	508
353	278	507
354	278	505
355	278	504
356	279	503
357	279	501
358	280	500
359	280	498
360	281	497
361	281	496
362	282	495
363	282	493
364	283	492
365	283	490
366	283	489
367	284	488
368	284	486
369	285	485
370	285	484
371	286	483
372	286	481
373	287	480
374	287	479
375	288	478
376	288	476
377	289	475
378	289	474
379	290	473
380	290	472
381	291	470
382	291	469
383	291	468
384	292	467
385	292	465
386	293	464
387	293	463
388	294	462
389	294	461
390	296	461
391	297	461
392	297	459
393	298	458
394	299	458
395	300	457
396	300	456
397	301	455
398	301	454
399	301	452
400	302	451
401	302	450
402	303	449
403	303	448
404	304	446
405	304	445
406	304	444
407	305	442
408	305	441
409	305	440
410	306	438
411	306	437
412	307	436
413	307	435
414	308	434
415	308	433
416	309	432
417	310	431
418	310	430
419	311	429
420	311	428
421	312	428
422	313	427
423	314	426
424	314	425
425	314	424
426	315	423
427	315	421
428	316	420
429	318	422
430	319	421
431	319	420
432	319	419
433	320	417
434	320	416
435	321	415
436	321	414
437	321	413
438	322	411
439	322	410
440	323	409
441	323	408
442	323	407
443	324	405
444	324	404
445	324	403
446	325	402
447	325	401
448	326	400
449	326	399
450	326	397
451	327	396
452	327	395
453	328	394
454	328	393
455	328	392
456	329	391
457	329	389
458	330	389
459	330	387
460	330	386
461	331	385
462	331	384
463	332	383
464	332	382
465	332	381
466	333	380
467	333	379
468	333	378
469	334	377
470	334	375
471	335	374
472	335	373
473	335	372
474	336	371
475	336	370
476	336	369
477	337	368
478	337	367
479	338	366
480	338	365
481	339	364
482	339	363
483	339	362
484	340	361
485	341	360
486	341	359
487	342	358
488	342	358
489	343	357
490	343	356
491	344	355
492	344	354
493	345	353
494	345	352
495	346	351
496	346	350
497	346	349
498	347	348
499	347	347
500	348	347
501	349	346
502	349	345
503	350	344
504	350	343
505	351	342
506	351	341
507	352	340
508	352	340
509	353	339
510	353	338
511	354	337
512	354	336
513	354	335
514	355	334
515	355	333
516	356	332
517	356	331
518	357	331
519	357	330
520	358	329
521	358	328
522	358	327
523	359	326
524	359	325
525	360	324
526	360	323
527	360	322
528	361	321
529	361	320
530	362	319
531	362	319
532	363	318
533	363	317
534	364	316
535	364	315
536	364	314
537	366	314
538	366	313
539	367	312
540	367	311
541	367	310
542	368	310
543	368	309
544	369	308
545	369	307
546	370	306
547	370	305
548	371	304
549	371	304
550	372	303
551	372	302
552	372	301
553	373	300
554	373	299
555	374	298
556	374	297
557	375	297
558	375	296
559	376	295
560	376	294
561	376	293
562	377	292
563	378	292
564	379	291
565	379	291
566	380	290
567	380	289
568	380	288
569	381	287
570	381	286
571	382	285
572	382	285
573	383	284
574	383	283
575	384	282
576	384	281
577	384	281
578	385	280
579	385	279
580	386	278
581	387	278
582	387	277
583	388	276
584	388	275
585	389	274
586	389	274
587	389	273
588	390	272
589	390	271
590	391	270
591	391	269
592	391	269
593	392	268
594	392	267
595	393	266
596	393	265
597	394	264
598	394	264
599	394	263
600	395	262
601	395	261
602	396	260
603	396	259
604	396	259
605	397	258
606	397	257
607	398	256
608	398	255
609	398	255
610	399	254
611	399	253
612	400	252
613	400	251
614	401	251
615	401	250
616	402	249
617	402	248
618	403	248
619	403	247
620	403	246
621	404	245
622	404	245
623	405	244
624	406	243
625	406	243
626	407	242
627	407	241
628	408	240
629	408	239
630	409	239
631	409	238
632	410	237
633	410	237
634	411	236
635	411	235
636	412	234
637	412	234
638	412	233
639	413	232
640	413	231
641	414	230
642	414	230
643	415	229
644	415	228
645	415	227
646	416	227
647	416	226
648	417	225
649	417	224
650	417	224
651	418	223
652	418	222
653	419	221
654	419	221
655	420	220
656	420	219
657	420	218
658	421	217
659	421	217
660	422	216
661	422	215
662	422	214
663	423	214
664	423	213
665	424	212
666	424	211
667	424	211
668	425	210
669	425	209
670	426	209
671	426	208
672	427	207
673	427	206
674	427	206
675	428	205
676	428	204
677	429	203
678	429	203
679	429	202
680	430	201
681	430	200
682	431	200
683	431	199
684	432	198
685	433	198
686	433	197
687	433	196
688	434	196
689	434	195
690	435	194
691	435	193
692	435	193
693	436	192
694	436	191
695	437	190
696	437	190
697	437	189
698	438	188
699	438	187
700	438	187
701	439	186
702	439	185
703	440	185
704	440	184
705	440	183
706	441	182
707	441	182
708	441	181
709	442	180
710	442	179
711	443	179
712	443	178
713	444	177
714	444	177
715	445	176
716	445	175
717	446	175
718	446	174
719	447	174
720	447	173
721	448	172
722	448	171
723	449	171
724	449	170
725	450	170
726	451	169
727	451	168
728	452	168
729	452	167
730	453	166
731	453	166
732	454	165
733	455	165
734	456	164
735	456	163
736	457	163
737	457	162
738	458	161
739	458	161
740	459	160
741	460	159
742	460	159
743	460	158
744	461	157
745	461	157
746	462	156
747	462	155
748	463	155
749	463	154
750	464	153
751	464	153
752	465	152
753	465	151
754	466	151
755	466	150
756	467	149
757	467	149
758	468	148
759	468	147
760	469	147
761	469	146
762	469	145
763	470	145
764	470	144
765	471	143
766	471	143
767	472	142
768	472	142
769	473	141
770	473	140
771	474	140
772	474	139
773	475	138
774	475	138
775	475	137
776	476	136
777	476	136
778	477	135
779	477	134
780	478	134
781	478	133
782	479	132
783	479	132
784	479	131
785	480	130
786	480	130
787	481	129
788	481	128
789	482	128
790	482	127
791	483	126
792	483	126
793	484	125
794	484	125
795	485	124
796	485	123
797	486	123
798	486	122
799	487	121
800	487	121
801	488	120
802	489	119
803	489	119
804	489	118
805	490	118
806	490	117
807	491	116
808	491	116
809	492	115
810	492	114
811	493	114
812	493	113
813	493	112
